"Submission Date","En el rectángulo blanco a continuación, ponga 50 puntos de manera aleatoria","Escriba un numero entre 0-9","Seleccione su género","Seleccione un nivel de estudio","¿Cuantos años tiene?","Seleccione un área del conocimiento","¿Cree que los seres humanos tenemos un destino escrito?","¿Usted se considera una persona religiosa?"
"2020/11/21 18:57:59",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4818122782129857560/4818122782129857560_base64_4.png,9,Femenino,Tecnologica,28,"Ingenieria, arquitectura, urbanismo",No,Si
"2020/11/21 18:56:19",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4818121799501422562/4818121799501422562_base64_4.png,8,Femenino,Pregrado,30,"Ingenieria, arquitectura, urbanismo",No,No
"2020/11/21 18:56:15",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4818121743235561779/4818121743235561779_base64_4.png,9,Femenino,Pregrado,30,"Ingenieria, arquitectura, urbanismo",No,No
"2020/11/21 18:54:25",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4818120650319637298/4818120650319637298_base64_4.png,6,Femenino,Pregrado,30,"Ingenieria, arquitectura, urbanismo",No,No
"2020/11/21 18:49:12",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4818117524411667359/4818117524411667359_base64_4.png,8,Femenino,Bachillerato,19,"Ciencias de la educación",Si,No
"2020/11/21 15:50:57",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4818010572427060778/4818010572427060778_base64_4.png,7,Masculino,Pregrado,22,"Ingenieria, arquitectura, urbanismo",No,No
"2020/11/21 15:43:43",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4818006224306168887/4818006224306168887_base64_4.png,3,Femenino,Bachillerato,25,"Ingenieria, arquitectura, urbanismo",No,Si
"2020/11/21 14:50:35",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4817974343223275193/4817974343223275193_base64_4.png,8,Masculino,Pregrado,22,"Ingenieria, arquitectura, urbanismo",No,No
"2020/11/21 14:29:47",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4817961865916583652/4817961865916583652_base64_4.png,6,Femenino,Pregrado,21,"Economia, administracion, contaduria",Si,Si
"2020/11/21 13:02:14",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4817909341297362299/4817909341297362299_base64_4.png,6,Masculino,Posgrado,23,"Ingenieria, arquitectura, urbanismo",No,Si
"2020/11/21 12:49:31",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4817901715913586376/4817901715913586376_base64_4.png,7,Masculino,Tecnologica,25,"Ingenieria, arquitectura, urbanismo",No,No
"2020/11/21 12:46:30",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4817899905911108245/4817899905911108245_base64_4.png,3,Masculino,Bachillerato,52,"Matematicas, ciencias naturales",Si,Si
"2020/11/21 12:46:17",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4817899775914514153/4817899775914514153_base64_4.png,1,Femenino,Bachillerato,52,Ninguno,Si,Si
"2020/11/20 21:19:28",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4817343678167393365/4817343678167393365_base64_4.png,6,Femenino,Primaria,62,Ninguno,Si,Si
"2020/11/20 19:06:38",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4817263988162151020/4817263988162151020_base64_4.png,5,Masculino,Bachillerato,60,Ninguno,Si,Si
"2020/11/20 18:53:14",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4817255936423004203/4817255936423004203_base64_4.png,5,Femenino,Tecnica,19,Ninguno,No,Si
"2020/11/20 18:39:38",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4817247776429003225/4817247776429003225_base64_4.png,8,Femenino,Tecnica,19,Ninguno,Si,Si
"2020/11/20 17:24:42",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4817202818169057849/4817202818169057849_base64_4.png,3,Masculino,Tecnologica,23,"Ingenieria, arquitectura, urbanismo",No,Si
"2020/11/20 15:50:31",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4817146319625863643/4817146319625863643_base64_4.png,8,Femenino,Tecnologica,23,Ninguno,Si,Si
"2020/11/20 15:39:39",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4817139790448495231/4817139790448495231_base64_4.png,7,Masculino,Pregrado,21,"Ingenieria, arquitectura, urbanismo",No,No
"2020/11/20 15:30:54",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4817134539925659994/4817134539925659994_base64_4.png,4,Masculino,Pregrado,22,"Ingenieria, arquitectura, urbanismo",No,No
"2020/11/20 15:28:44",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4817133246322842670/4817133246322842670_base64_4.png,2,Masculino,Pregrado,21,"Ingenieria, arquitectura, urbanismo",Si,No
"2020/11/20 15:22:30",https://www.jotform.com/uploads/yjeanpaul/203225137773049/4817129499782072337/4817129499782072337_base64_4.png,0,Masculino,Pregrado,22,"Ingenieria, arquitectura, urbanismo",No,No
